month,year,airline_id,unique_carrier,carrier_name,tdomt_gallons,total_gallons,tdomt_cost,total_cost
2,2016,21652,27Q,"Jet Aviation Flight Services, Inc.",0,0,0,0
2,2016,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,287095,287095,619519,619519
2,2016,19917,5X,United Parcel Service,31170000,54502000,32449000,55087000
2,2016,20007,5Y,Atlas Air Inc.,4697494,25226278,8482313,44439422
2,2016,19874,8C,Air Transport International,18695,677052,36038,1845258
2,2016,20363,9E,Endeavor Air Inc.,0,0,0,0
2,2016,20190,9S,Southern Air Inc.,749638,4928643,1574240,10350150
2,2016,19805,AA,American Airlines Inc.,167962196,266861016,178053556,281410386
2,2016,20453,ABX,ABX Air Inc,252917,252917,554065,554065
2,2016,19930,AS,Alaska Airlines Inc.,34637580,35531494,41076457,42171313
2,2016,20409,B6,JetBlue Airways,47006545,58151853,53522617,66340295
2,2016,21167,CP,Compass Airlines,0,0,0,0
2,2016,19790,DL,Delta Air Lines Inc.,137448608,244665334,185127672,328807596
2,2016,21650,EE,Eastern Airlines Group Inc.,228160,391360,314861,540077
2,2016,20366,EV,ExpressJet Airlines Inc.,76666,76666,178088,178088
2,2016,20436,F9,Frontier Airlines Inc.,13691848,15240623,13114789,14937147
2,2016,20107,FX,Federal Express Corporation,55821380,84288159,57371000,87984000
2,2016,20368,G4,Allegiant Air,12815963,12815963,16053275,16053275
2,2016,20500,G7,GoJet Airlines LLC d/b/a United Express,0,0,0,0
2,2016,20166,GFQ,Gulf And Caribbean Cargo,55553,130011,89545,221208
2,2016,20402,GL,Miami Air International,385097,666446,671224,1161614
2,2016,19690,HA,Hawaiian Airlines Inc.,12947588,18180766,14132312,20030171
2,2016,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",36971,36971,93306,93306
2,2016,20370,KAQ,Kalitta Air LLC,403246,2811192,545999,4243298
2,2016,21629,KD,Western Global,18351,18351,18351,18351
2,2016,21634,KH,Aloha Air Cargo,412808,412808,427991,427991
2,2016,20372,KLQ,Kalitta Charters II,80604,94537,152685,174762
2,2016,20169,L2,Lynden Air Cargo Airlines,150677,199100,264940,295949
2,2016,20151,M6,Amerijet International,256209,1787901,314315,2193379
2,2016,20398,MQ,Envoy Air,0,0,0,0
2,2016,20405,N8,National Air Cargo Group Inc d/ba National Airlines,174228,1006336,228590,1931580
2,2016,20108,NC,Northern Air Cargo Inc.,368420,377896,472561,488580
2,2016,20416,NK,Spirit Air Lines,19937150,21981422,23485111,25893176
2,2016,20397,OH,PSA Airlines Inc.,0,0,0,0
2,2016,20304,OO,SkyWest Airlines Inc.,5287524,5287524,7860757,7860757
2,2016,20177,PFQ,Asia Pacific,0,245619,0,412422
2,2016,20100,PO,Polar Air Cargo Airways,2202955,11798892,2449532,12397956
2,2016,20149,PRQ,Florida West Airlines Inc.,0,0,0,0
2,2016,19687,QX,Horizon Air,0,0,0,0
2,2016,20448,S5,Shuttle America Corp.,3082947,3082947,3177980,3177980
2,2016,20422,SY,Sun Country Airlines d/b/a MN Airlines,2821924,5214769,3895757,6983134
2,2016,20447,U7,USA Jet Airlines Inc.,305977,321944,362231,389887
2,2016,19977,UA,United Air Lines Inc.,105058237,228642695,110006862,242219657
2,2016,21171,VX,Virgin America,13261960,13417145,13603946,13790295
2,2016,20308,WE,Centurion Cargo Inc.,0,119072,0,137952
2,2016,20195,WI,Sky Lease Cargo,0,0,0,0
2,2016,20287,WP,Island Air Hawaii,92320,92320,87273,87273
2,2016,20377,X9,Omni Air Express,367356,3021324,519998,7484138
2,2016,20207,XP,XTRA Airways,271433,672345,445656,1103899
2,2016,20378,YV,Mesa Airlines Inc.,0,0,0,0
2,2016,20452,YX,Republic Airlines,11730250,11730250,11499270,11499270
2,2016,20046,ZW,Air Wisconsin Airlines Corp,5867191,5867191,6239743,6239743
2,2016,19393,WN,Southwest Airlines Co.,144524666,145687543,251480263,253104358
3,2016,21161,09Q,"Swift Air, LLC",388099,551159,975347,1276282
3,2016,21352,0WQ,Avjet Corporation,12505,12505,32637,32637
3,2016,21492,1BQ,"Dynamic Airways, LLC",0,0,0,0
3,2016,21645,23Q,Songbird Airways Inc.,0,0,0,0
3,2016,21652,27Q,"Jet Aviation Flight Services, Inc.",0,0,0,0
3,2016,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,368114,368114,815240,815240
3,2016,19917,5X,United Parcel Service,35333000,65027000,39981000,71556000
3,2016,20007,5Y,Atlas Air Inc.,5339379,28789377,9763777,50943407
3,2016,19874,8C,Air Transport International,5098,676465,6186,1803446
3,2016,20363,9E,Endeavor Air Inc.,0,0,0,0
3,2016,20190,9S,Southern Air Inc.,1080693,6502939,2269455,13656172
3,2016,19805,AA,American Airlines Inc.,191902155,305541690,210086351,340587052
3,2016,20453,ABX,ABX Air Inc,312309,312309,590264,590264
3,2016,19930,AS,Alaska Airlines Inc.,38563254,39596833,49007819,50345955
3,2016,20409,B6,JetBlue Airways,52727049,64395121,63705743,77936475
3,2016,21167,CP,Compass Airlines,0,0,0,0
3,2016,19790,DL,Delta Air Lines Inc.,159812589,280976475,221359489,388472770
3,2016,21650,EE,Eastern Airlines Group Inc.,279440,473920,416366,706141
3,2016,20366,EV,ExpressJet Airlines Inc.,82715,82715,194962,194962
3,2016,20436,F9,Frontier Airlines Inc.,14743364,16416821,15587483,17655232
3,2016,20107,FX,Federal Express Corporation,65327841,98487077,72382000,111339000
3,2016,20368,G4,Allegiant Air,16442818,16442818,22071234,22071234
3,2016,20500,G7,GoJet Airlines LLC d/b/a United Express,0,0,0,0
3,2016,20166,GFQ,Gulf And Caribbean Cargo,115405,227116,181508,368671
3,2016,20402,GL,Miami Air International,468387,715715,876352,1339105
3,2016,19690,HA,Hawaiian Airlines Inc.,14008850,19708114,16393085,23026945
3,2016,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",48672,72598,137262,204737
3,2016,20370,KAQ,Kalitta Air LLC,314683,2446627,537118,4143115
3,2016,21629,KD,Western Global,40542,40542,40542,40542
3,2016,21634,KH,Aloha Air Cargo,458733,458733,543848,543848
3,2016,20372,KLQ,Kalitta Charters II,217766,252913,398870,457919
3,2016,20169,L2,Lynden Air Cargo Airlines,206843,248283,382815,382815
3,2016,20151,M6,Amerijet International,255821,1806465,333131,2352384
3,2016,20398,MQ,Envoy Air,0,0,0,0
3,2016,20405,N8,National Air Cargo Group Inc d/ba National Airlines,284788,777659,408328,1360404
3,2016,20108,NC,Northern Air Cargo Inc.,404819,412385,553876,566931
3,2016,20416,NK,Spirit Air Lines,18687532,20051000,28737098,30833796
3,2016,20397,OH,PSA Airlines Inc.,0,0,0,0
3,2016,20304,OO,SkyWest Airlines Inc.,6067876,6067876,8768054,8768054
3,2016,20177,PFQ,Asia Pacific,0,273261,0,439064
3,2016,20100,PO,Polar Air Cargo Airways,2859183,15723111,3232286,18059145
3,2016,20149,PRQ,Florida West Airlines Inc.,0,0,0,0
3,2016,19687,QX,Horizon Air,0,0,0,0
3,2016,20448,S5,Shuttle America Corp.,4370846,4370846,4851196,4851196
3,2016,20422,SY,Sun Country Airlines d/b/a MN Airlines,3359333,5946748,4878371,8363521
3,2016,20447,U7,USA Jet Airlines Inc.,553034,563741,696187,715495
3,2016,19977,UA,United Air Lines Inc.,123516238,265337819,137362636,297964996
3,2016,21171,VX,Virgin America,15268202,15460169,17402265,17647757
3,2016,20308,WE,Centurion Cargo Inc.,0,0,0,0
3,2016,20195,WI,Sky Lease Cargo,0,0,0,0
3,2016,20287,WP,Island Air Hawaii,121341,121341,132902,132902
3,2016,20377,X9,Omni Air Express,371469,2295678,739193,5828855
3,2016,20207,XP,XTRA Airways,350091,850482,639529,1553618
3,2016,20378,YV,Mesa Airlines Inc.,0,0,0,0
3,2016,20452,YX,Republic Airlines,13995700,13995700,15033057,15033057
3,2016,20046,ZW,Air Wisconsin Airlines Corp,6588736,6588736,7498977,7498977
3,2016,19393,WN,Southwest Airlines Co.,171254232,172667623,281824146,283892879
4,2016,21161,09Q,"Swift Air, LLC",214900,379161,555293,659432
4,2016,21352,0WQ,Avjet Corporation,18337,20098,47189,52519
4,2016,21492,1BQ,"Dynamic Airways, LLC",0,0,0,0
4,2016,21645,23Q,Songbird Airways Inc.,0,0,0,0
4,2016,21652,27Q,"Jet Aviation Flight Services, Inc.",0,0,0,0
4,2016,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,343885,343885,713613,713613
4,2016,19917,5X,United Parcel Service,31447000,60333000,37664000,71180000
4,2016,20007,5Y,Atlas Air Inc.,5636265,30876150,9484407,52278968
4,2016,19874,8C,Air Transport International,15860,658109,20003,1506140
4,2016,20363,9E,Endeavor Air Inc.,0,0,0,0
4,2016,20190,9S,Southern Air Inc.,843577,6094992,1771512,12799483
4,2016,19805,AA,American Airlines Inc.,178399621,292255226,209148977,350930021
4,2016,20453,ABX,ABX Air Inc,161669,161669,320880,320880
4,2016,19930,AS,Alaska Airlines Inc.,37750045,38598758,50638870,51784926
4,2016,20409,B6,JetBlue Airways,50689532,62428968,64391404,79388437
4,2016,21167,CP,Compass Airlines,0,0,0,0
4,2016,19790,DL,Delta Air Lines Inc.,150703885,279599419,231884029,429540020
4,2016,21650,EE,Eastern Airlines Group Inc.,140560,318400,217868,493520
4,2016,20366,EV,ExpressJet Airlines Inc.,77831,77831,220371,220371
4,2016,20436,F9,Frontier Airlines Inc.,14788087,16071313,16496000,18771877
4,2016,20107,FX,Federal Express Corporation,60455074,92095004,70245000,109719000
4,2016,20368,G4,Allegiant Air,13408496,13408496,18602361,18602361
4,2016,20500,G7,GoJet Airlines LLC d/b/a United Express,0,0,0,0
4,2016,20166,GFQ,Gulf And Caribbean Cargo,97865,193760,168586,346865
4,2016,20402,GL,Miami Air International,314277,570483,573179,1040447
4,2016,19690,HA,Hawaiian Airlines Inc.,13260286,18932506,16175531,23223634
4,2016,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",13671,42477,26757,83136
4,2016,20370,KAQ,Kalitta Air LLC,419729,3651174,537977,5678439
4,2016,21629,KD,Western Global,7812,7812,7812,7812
4,2016,21634,KH,Aloha Air Cargo,417640,417640,518317,518317
4,2016,20372,KLQ,Kalitta Charters II,144431,156202,285107,306969
4,2016,20169,L2,Lynden Air Cargo Airlines,165702,195894,310424,310424
4,2016,20151,M6,Amerijet International,270803,1858471,364165,2499195
4,2016,20398,MQ,Envoy Air,0,0,0,0
4,2016,20405,N8,National Air Cargo Group Inc d/ba National Airlines,253810,1389500,402044,2582856
4,2016,20108,NC,Northern Air Cargo Inc.,456447,463105,664220,675295
4,2016,20416,NK,Spirit Air Lines,22416916,24715453,29448637,32468178
4,2016,20397,OH,PSA Airlines Inc.,0,0,0,0
4,2016,20304,OO,SkyWest Airlines Inc.,6079389,6079389,9365067,9365067
4,2016,20177,PFQ,Asia Pacific,0,283134,0,504738
4,2016,20100,PO,Polar Air Cargo Airways,2857246,14717190,3593983,18574019
4,2016,20149,PRQ,Florida West Airlines Inc.,0,0,0,0
4,2016,19687,QX,Horizon Air,0,0,0,0
4,2016,20448,S5,Shuttle America Corp.,2625542,2625542,3036717,3036717
4,2016,20422,SY,Sun Country Airlines d/b/a MN Airlines,3627674,4830126,5259274,6928390
4,2016,20447,U7,USA Jet Airlines Inc.,467078,481875,607201,636529
4,2016,19977,UA,United Air Lines Inc.,118947354,257893397,139221625,308674504
4,2016,21171,VX,Virgin America,15419080,15640812,18089258,18384609
4,2016,20308,WE,Centurion Cargo Inc.,0,0,0,0
4,2016,20195,WI,Sky Lease Cargo,0,0,0,0
4,2016,20287,WP,Island Air Hawaii,126195,126195,160992,160992
4,2016,20377,X9,Omni Air Express,313154,2878007,374541,5999885
4,2016,20207,XP,XTRA Airways,255494,577352,471922,1066424
4,2016,20378,YV,Mesa Airlines Inc.,0,0,0,0
4,2016,20452,YX,Republic Airlines,12792878,12792878,14688177,14688177
4,2016,20046,ZW,Air Wisconsin Airlines Corp,6281133,6281133,7769570,7769570
4,2016,19393,WN,Southwest Airlines Co.,164789814,166117580,260647957,262687589
5,2016,21161,09Q,"Swift Air, LLC",147140,318452,333778,394296
5,2016,21352,0WQ,Avjet Corporation,23873,23873,67800,67800
5,2016,21492,1BQ,"Dynamic Airways, LLC",0,34091,0,543913
5,2016,21645,23Q,Songbird Airways Inc.,0,0,0,0
5,2016,21652,27Q,"Jet Aviation Flight Services, Inc.",0,0,0,0
5,2016,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,338719,338719,794232,794232
5,2016,19917,5X,United Parcel Service,32447000,61474000,43501000,79522000
5,2016,20007,5Y,Atlas Air Inc.,5949340,29633766,10497530,51980923
5,2016,19874,8C,Air Transport International,33632,799411,74205,1451021
5,2016,20363,9E,Endeavor Air Inc.,0,0,0,0
5,2016,20190,9S,Southern Air Inc.,842946,6307554,1770186,13245863
5,2016,19805,AA,American Airlines Inc.,188798331,313190128,241602609,407824957
5,2016,20453,ABX,ABX Air Inc,74254,74254,140340,140340
5,2016,19930,AS,Alaska Airlines Inc.,38602533,39132120,56921331,57737641
5,2016,20409,B6,JetBlue Airways,52143067,63549584,75222091,91789656
5,2016,21167,CP,Compass Airlines,0,0,0,0
5,2016,19790,DL,Delta Air Lines Inc.,167433775,299428448,253282613,452129965
5,2016,21650,EE,Eastern Airlines Group Inc.,80560,308960,136952,525232
5,2016,20366,EV,ExpressJet Airlines Inc.,85605,85605,198677,198677
5,2016,20436,F9,Frontier Airlines Inc.,16116093,17174618,20963972,22422890
5,2016,20107,FX,Federal Express Corporation,57865369,89515467,75880000,118473000
5,2016,20368,G4,Allegiant Air,13615505,13615505,21056684,21056684
5,2016,20500,G7,GoJet Airlines LLC d/b/a United Express,0,0,0,0
5,2016,20166,GFQ,Gulf And Caribbean Cargo,149455,218880,276594,413304
5,2016,20402,GL,Miami Air International,257807,538444,488106,1019436
5,2016,19690,HA,Hawaiian Airlines Inc.,13924977,19669417,18714545,26366779
5,2016,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",38284,59314,99177,153656
5,2016,20370,KAQ,Kalitta Air LLC,197426,2070043,310221,3414633
5,2016,21629,KD,Western Global,14921,14921,14921,14921
5,2016,21634,KH,Aloha Air Cargo,420758,420758,575838,575838
5,2016,20372,KLQ,Kalitta Charters II,223726,235564,463663,490933
5,2016,20169,L2,Lynden Air Cargo Airlines,160638,240210,378881,435203
5,2016,20151,M6,Amerijet International,226194,1759865,341744,2658880
5,2016,20398,MQ,Envoy Air,0,0,0,0
5,2016,20405,N8,National Air Cargo Group Inc d/ba National Airlines,159152,666666,263413,1187346
5,2016,20108,NC,Northern Air Cargo Inc.,446423,466942,703749,740895
5,2016,20416,NK,Spirit Air Lines,23984200,26414317,35808103,39436237
5,2016,20397,OH,PSA Airlines Inc.,0,0,0,0
5,2016,20304,OO,SkyWest Airlines Inc.,6375164,6375164,10830449,10830449
5,2016,20177,PFQ,Asia Pacific,0,297367,0,576633
5,2016,20100,PO,Polar Air Cargo Airways,2874850,15578133,3955164,21066984
5,2016,20149,PRQ,Florida West Airlines Inc.,0,0,0,0
5,2016,19687,QX,Horizon Air,0,0,0,0
5,2016,20448,S5,Shuttle America Corp.,2922167,2922167,3854389,3854389
5,2016,20422,SY,Sun Country Airlines d/b/a MN Airlines,3484679,3821647,5621805,6158128
5,2016,20447,U7,USA Jet Airlines Inc.,442592,459556,641758,674901
5,2016,19977,UA,United Air Lines Inc.,129102217,281394904,168346615,370830564
5,2016,21171,VX,Virgin America,16189161,16414177,21397134,21737449
5,2016,20308,WE,Centurion Cargo Inc.,0,329399,0,503652
5,2016,20195,WI,Sky Lease Cargo,0,0,0,0
5,2016,20287,WP,Island Air Hawaii,128211,128211,177108,177108
5,2016,20377,X9,Omni Air Express,422869,2129372,699603,2884278
5,2016,20207,XP,XTRA Airways,210506,556146,406277,1073362
5,2016,20378,YV,Mesa Airlines Inc.,0,0,0,0
5,2016,20452,YX,Republic Airlines,11820783,11820783,14889666,14889666
5,2016,20046,ZW,Air Wisconsin Airlines Corp,6510272,6510272,8792834,8792834
5,2016,19393,WN,Southwest Airlines Co.,168730965,170290207,283000560,285523831
6,2016,21352,0WQ,Avjet Corporation,26382,26382,82048,82048
6,2016,21492,1BQ,"Dynamic Airways, LLC",0,0,0,0
6,2016,21645,23Q,Songbird Airways Inc.,0,0,0,0
6,2016,21652,27Q,"Jet Aviation Flight Services, Inc.",0,0,0,0
6,2016,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,398853,398853,995143,995143
6,2016,19917,5X,United Parcel Service,34866000,64673000,51063000,91738000
6,2016,20007,5Y,Atlas Air Inc.,5897956,30154889,11084437,54178071
6,2016,19874,8C,Air Transport International,40158,727092,87049,1391446
6,2016,20363,9E,Endeavor Air Inc.,0,0,0,0
6,2016,20190,9S,Southern Air Inc.,738701,6199687,1551273,13019344
6,2016,19805,AA,American Airlines Inc.,198543094,325213057,276199571,460306736
6,2016,20453,ABX,ABX Air Inc,41106,41106,68116,68116
6,2016,19930,AS,Alaska Airlines Inc.,39737824,40343833,64569458,65645569
6,2016,20409,B6,JetBlue Airways,52913453,65324308,83355278,102954211
6,2016,21167,CP,Compass Airlines,0,0,0,0
6,2016,19790,DL,Delta Air Lines Inc.,173714766,313711612,533585511,963444631
6,2016,21650,EE,Eastern Airlines Group Inc.,228640,483920,388688,822664
6,2016,20366,EV,ExpressJet Airlines Inc.,80305,80305,204875,204875
6,2016,20436,F9,Frontier Airlines Inc.,17359786,18090996,23874936,25542928
6,2016,20107,FX,Federal Express Corporation,61493610,92488481,88582000,133629000
6,2016,20368,G4,Allegiant Air,17128733,17128733,28784055,28784055
6,2016,20500,G7,GoJet Airlines LLC d/b/a United Express,0,0,0,0
6,2016,20166,GFQ,Gulf And Caribbean Cargo,299168,444215,582654,891504
6,2016,20402,GL,Miami Air International,377084,624061,833506,1379421
6,2016,19690,HA,Hawaiian Airlines Inc.,15348068,21096167,22620137,30956710
6,2016,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",28269,50209,55523,98615
6,2016,20370,KAQ,Kalitta Air LLC,642251,2475442,974967,4099440
6,2016,21629,KD,Western Global,132846,282032,132846,282032
6,2016,21634,KH,Aloha Air Cargo,414878,414878,615846,615846
6,2016,20372,KLQ,Kalitta Charters II,93080,127070,193562,278086
6,2016,20169,L2,Lynden Air Cargo Airlines,190880,197857,375717,393160
6,2016,20151,M6,Amerijet International,245940,1874919,407009,3102827
6,2016,20398,MQ,Envoy Air,0,0,0,0
6,2016,20405,N8,National Air Cargo Group Inc d/ba National Airlines,209214,457022,329849,796043
6,2016,20108,NC,Northern Air Cargo Inc.,558685,558685,1040758,1040758
6,2016,20416,NK,Spirit Air Lines,23476382,25883552,37447534,41287248
6,2016,20397,OH,PSA Airlines Inc.,0,0,0,0
6,2016,20304,OO,SkyWest Airlines Inc.,6376531,6376531,11480104,11480104
6,2016,20177,PFQ,Asia Pacific,0,280183,0,505845
6,2016,20100,PO,Polar Air Cargo Airways,2793706,14808215,4070029,21708375
6,2016,20149,PRQ,Florida West Airlines Inc.,0,0,0,0
6,2016,19687,QX,Horizon Air,0,0,0,0
6,2016,20448,S5,Shuttle America Corp.,2974618,2974618,4340750,4340750
6,2016,20422,SY,Sun Country Airlines d/b/a MN Airlines,4093831,4700085,7132137,8225706
6,2016,20447,U7,USA Jet Airlines Inc.,554462,572775,887139,930816
6,2016,19977,UA,United Air Lines Inc.,134665784,294023498,192041302,423352591
6,2016,21171,VX,Virgin America,16849312,17077810,24491852,24892865
6,2016,20308,WE,Centurion Cargo Inc.,23981,498352,46735,856030
6,2016,20195,WI,Sky Lease Cargo,0,0,0,0
6,2016,20287,WP,Island Air Hawaii,166912,166912,259340,259340
6,2016,20377,X9,Omni Air Express,445543,2604815,656696,4800584
6,2016,20207,XP,XTRA Airways,230953,739590,478329,1531771
6,2016,20378,YV,Mesa Airlines Inc.,0,0,0,0
6,2016,20452,YX,Republic Airlines,11611850,11611850,15883727,15883727
6,2016,20046,ZW,Air Wisconsin Airlines Corp,6353609,6353609,9333727,9333727
6,2016,19393,WN,Southwest Airlines Co.,175444931,177255565,307472174,310700426
7,2016,21161,09Q,"Swift Air, LLC",121373,328601,447055,904599
7,2016,21352,0WQ,Avjet Corporation,29149,29149,85990,85990
7,2016,21492,1BQ,"Dynamic Airways, LLC",0,0,0,0
7,2016,21645,23Q,Songbird Airways Inc.,17806,118140,35425,235039
7,2016,21652,27Q,"Jet Aviation Flight Services, Inc.",0,0,0,0
7,2016,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,452311,452311,936113,936113
7,2016,19917,5X,United Parcel Service,32922000,63265000,46341000,87923000
7,2016,20007,5Y,Atlas Air Inc.,6263248,30859217,14025862,57599897
7,2016,19874,8C,Air Transport International,21765,594718,57777,1127536
7,2016,20363,9E,Endeavor Air Inc.,0,0,0,0
7,2016,20190,9S,Southern Air Inc.,787809,6415568,1654399,13472693
7,2016,19805,AA,American Airlines Inc.,205233915,338537054,282820840,477298830
7,2016,20453,ABX,ABX Air Inc,168462,168462,353770,353770
7,2016,19930,AS,Alaska Airlines Inc.,41220414,41708931,65365494,66198034
7,2016,20409,B6,JetBlue Airways,55423261,69519324,84232470,105712879
7,2016,21167,CP,Compass Airlines,0,0,0,0
7,2016,19790,DL,Delta Air Lines Inc.,183965369,333299312,272794344,493229453
7,2016,21650,EE,Eastern Airlines Group Inc.,141680,612320,240856,1040944
7,2016,20366,EV,ExpressJet Airlines Inc.,80896,80896,230891,230891
7,2016,20436,F9,Frontier Airlines Inc.,19491304,20527999,27099940,28858501
7,2016,20107,FX,Federal Express Corporation,58396390,90794613,80848000,128342000
7,2016,20368,G4,Allegiant Air,18352864,18352864,29820427,29820427
7,2016,20500,G7,GoJet Airlines LLC d/b/a United Express,0,0,0,0
7,2016,20166,GFQ,Gulf And Caribbean Cargo,178347,280938,353128,559320
7,2016,20402,GL,Miami Air International,216723,335264,312235,483018
7,2016,19690,HA,Hawaiian Airlines Inc.,16133931,22418860,23088167,32228181
7,2016,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",86761,189716,206007,450465
7,2016,20370,KAQ,Kalitta Air LLC,571193,2721438,900588,4576516
7,2016,21629,KD,Western Global,65171,168903,65171,168903
7,2016,21634,KH,Aloha Air Cargo,420630,420630,602912,602912
7,2016,20372,KLQ,Kalitta Charters II,163748,170132,357342,368724
7,2016,20169,L2,Lynden Air Cargo Airlines,253425,255601,502144,505456
7,2016,20151,M6,Amerijet International,233120,1892766,371204,3013910
7,2016,20398,MQ,Envoy Air,0,0,0,0
7,2016,20405,N8,National Air Cargo Group Inc d/ba National Airlines,254891,686281,461033,1290073
7,2016,20108,NC,Northern Air Cargo Inc.,502881,502881,807428,807428
7,2016,20416,NK,Spirit Air Lines,24415969,26510281,39089881,42442868
7,2016,20397,OH,PSA Airlines Inc.,0,0,0,0
7,2016,20304,OO,SkyWest Airlines Inc.,6489965,6489965,11647680,11647680
7,2016,20177,PFQ,Asia Pacific,0,318966,0,592222
